Year,Value
1990,64746.17602
1991,62713.13433
1992,63272.19404
1993,62199.03509
1994,62779.74459
1995,62464.10018
1996,64178.80708
1997,65862.29617
1998,65704.4068
1999,66711.395
2000,69442.15761
2001,69743.63613
2002,67711.41408
2003,68515.73422
2004,69214.89469
2005,69993.61007
2006,70939.03277
2007,71264.11872
2008,72094.82404
2009,69965.43464
2010,68272.30209
2011,68209.2133
2012,69274.86658
2013,68366.42789
2014,69946.07105
2015,69690.51091
2016,68779.25003
2017,68800.94671
2018,67856.28125
